Todo,Difficulty,Type,Category,Rating,Political,Bit idea,Expanded Concept,Programmatic / Tech Steps,Notes / Risks,Outline Dialog/Steps,Assets Needed
1,Easy,Prep,Writing,G,No,"Write down roles, - father, dogowner, and things you love/hate, things you do in a week","Character-building homework, not a stage bit: lock in recurring roles (father, dog owner, commuter, gym guy...) plus love/hate lists and a week-in-the-life. Each role becomes a POV for bits, love/hate lists become rant material, and the weekly routine becomes relatable observations the screen-head can ""broadcast.""",No show tech needed. Keep a shared notes doc and tag each entry with a potential visual (dog owner -> dog-cam overlay on the face) so list items can be converted into app-button presets later.,Do it offstage - the payoff is material for every other row of this sheet. Review monthly and prune anything that never becomes a bit.,"OFFSTAGE. 1) Brainstorm roles (father, dog owner, commuter, gym guy...). 2) Love/hate lists. 3) Week-in-the-life timeline. 4) Tag each with a visual idea. SCREENS: none. LAUGH BREAKS: none - this is writing.",Shared notes doc; idea-tagging template (role -> visual preset name).
,Hard,Bit,Commercial,PG,No,"Drug commercial with Side effects, return with those on face, ""Thanks Certicort""","Full pharma-ad parody: HeadCase as the beaming spokesperson for Certicort. Cheerful pitch, then the fast-voiced disclaimer kicks in and each spoken side effect hits his TV face live - droopy-eye filter, pixel scramble, color inversion, slow spin - while he keeps smiling through it. Wraps on glassy sincerity: ""Thanks, Certicort.""","Pre-build 4-5 face-distortion filters, one app button each. Record the disclaimer VO with cue markers; rear screens run soft pharma b-roll (meadows, families, sunsets) that glitches in sync with each side effect. One macro fires the full sequence; keep manual buttons for live recovery.","VO-to-filter timing needs rehearsal. Cap at 4-5 distortions or it reads messy. Keep side effects absurd, not disturbing, to hold PG. Make sure the fake drug name doesn't collide with a real brand.","1) HeadCase beams as pitchman: happy-face + meadow b-roll (SCREEN: head happy filter, rear pharma b-roll). 2) Pitch 3 product benefits, each lands a small laugh. 3) FAST VO disclaimer starts (SCREEN: macro begins). 4) Each side effect = one face distortion: droopy eye -> pixel scramble -> color invert -> slow spin, hold each ~2s (LAUGH BREAK each). 5) Deeper voice side effect on the spin. 6) Snap back to beaming face: 'Thanks, Certicort.' (SCREEN: b-roll returns) - button ending, hold 3s.",4-5 face-distortion filters; disclaimer VO with cue markers; pharma b-roll (meadows/family/sunset); glitch SFX; macro wiring all cues; fake-drug logo card.
,Easy,Costume,Prop,G,No,"Headcase out of costume needs to wear a giant hat with an iad in it, or a regular hat with an phone above the bill","The screen-head ""turns off"" when he's off duty - so he wears substitute faces: a giant brim hat with an iPad strapped in looping a static face, or a ball cap with a phone clipped above the bill playing a bored-face video. Crowd realization: the TV never actually turns off.","iPad/phone mounted in or onto the hat, looping a pre-rendered face video (or a reactive face app). Lock brightness, disable auto-lock and notifications, hide a battery pack in the hat band. Optional Bluetooth trigger to tap-change faces.",Weight and heat - keep the rig under ~1.5 lb and ventilated. Mount above eye line so back rows can read it. Kill all notifications before showtime; nothing dies faster than a calendar ping on his forehead.,"OFFSTAGE build. 1) Mount device in hat, loop face video. 2) Walk-through test: weight, sight lines, heat. 3) IN SHOW: worn on entry/exit only; crowd realizes the 'off-duty head' is still a screen (LAUGH: the realization, no button needed).",Hat rig + mount; 1 looping face video (bored/deadpan); battery pack; notification lockdown checklist.
,Mid,Costume,Prop,PG,No,Headcase hats should have phones aoundthen like the sphere or a jumbotron called dumbotron,"Costume line: hats ringed with phones like Sphere Vegas or a stadium jumbotron - each phone shows one slice of a single giant face wrapping around the head. Official name: the Dumbotron. Debuts as an entrance gag, a crowd-wave bit, or a ""bigger HeadCase"" reveal.","Export one face video, slice it into N tiled clips matching each phone's position, and play them in sync (locked-start playlists on every phone, or one master trigger that starts them all). Optional: rear camera pass-through so the Dumbotron displays the crowd themselves.",Phone sync drifts over minutes - test a full show-length run before debuting. Borrowed devices mean battery + heat management. Start with 4-6 phones before committing to a full ring.,"1) Entrada: HatCase enters wearing the Dumbotron, master trigger starts all phones (SCREEN: one giant face sliced across tiles). 2) Face looks left/right - tiles follow (LAUGH BREAK). 3) Crowd-wave: face winks at sections of the room. 4) Optional: rear-cam pass-through - Dumbotron becomes the crowd (big LAUGH). 5) Exit line: 'Bigger venue, same brain.'",Face video sliced into N tile clips; sync-start playlists per phone; master trigger button; optional crowd-cam pass-through config; phone mounts + battery bank.
,Mid,Heckler,Callback,PG,No,"Mugshot background, now I recognize youki","Heckler fires, HeadCase snaps into booking mode: rear screens drop to a police height-chart, his face slams to ""NOW I RECOGNIZE YOU"" with a grayscale freeze-frame of the heckler from the audience cam, plus a lower-third: PERP - GUY IN ROW 3. One beat, big laugh, move on.",One button fires the preset: rear screen -> height-chart still; head -> audience-cam pass-through with grayscale grade + tap-to-freeze; text overlay hotkey for the PERP tag. Rehearse the crop/freeze on a stand-in so it's one clean motion live.,"Target selection is everything: friendly-looking repeat offenders only, never protected-class material. One beat maximum, then a cut-away button if the room turns. Confirm venue policy on filming the crowd.","1) Heckler fires (no screen change). 2) Beat - HeadCase slowly turns: 'Wait... now I recognize you.' 3) BUTTON: booking preset (SCREEN: rear height-chart, head grayscale freeze of heckler, PERP lower-third). 4) Hold 3-4s (LAUGH BREAK). 5) Reset button, back to material with: 'Anywho...' ",Height-chart backdrop image; audience-cam grayscale freeze preset; PERP lower-third template; booking SFX (camera click); reset button.
1,Easy,Gag,Opener,G,No,"Is this on, turn tv off, sight Gag","Classic tech-check opener. HeadCase taps his temple: ""Is this thing on?"" Offstage tech ""fixes"" it by switching the TV OFF - face goes black with a power icon, he stands deadpan in total silence... then the face pops back on color bars and he carries on like nothing happened.","Two app buttons: POWER OFF (full-black face + soft power-down chime, rear screens dim with it) and POWER ON (color bars / broadcast test pattern, then back to normal face). Hold the black beat 3-5 seconds. Bonus third beat: an ""auto-play next episode in 5..."" countdown before the face returns.","The silence is the joke - hold it, don't rush. Brief backstage not to touch real cues during the blackout. Check house-light spill so the deadpan reads from the back.","1) Walk out tapping temple: 'Is this thing on? Is the TV on?' (SCREEN: normal). 2) Offstage voice: 'Try turning it off and on again.' 3) BUTTON: face goes full black + power-down chime (SCREEN: black + tiny power icon; rear screens dim). 4) Total silence, deadpan - hold 3-5s (THE LAUGH BREAK). 5) BUTTON: color bars pop on (SCREEN: test pattern + tone). 6) Beat 2: 'Auto-play next episode in 5...' countdown. 7) Face returns mid-sentence, carry on like nothing happened.",Power-off face card (black + power icon); power-down chime; color-bars card + tone; 'auto-play next episode' countdown graphic; macro + manual overrides.
1,Mid,Gag,Interaction,G,No,Let watch something funny,"HeadCase announces ""let's watch something funny"" and flips his own face through channels: static, a fishing show, a cat video, an eternal loading spinner... then gives up, turns the face-cam on the audience - ""oh, this is good"" - and just watches them. The crowd becomes the content.",Button 1: channel-surf macro cycling static burst -> 2-3 licensed/stock clips -> loading spinner. Button 2: rear-facing camera pass-through so the audience sees themselves live on his screen. Keep camera latency under ~200ms so the mirror feels real.,Latency kills the mirror gag - test the full camera chain in the room. Crowd shots need camera gain for dim venues. Only use clips you actually have rights to (stock library or self-shot).,"1) 'Alright, let's watch something funny.' 2) Channel-surf macro: static burst -> fishing show (2s) -> cat video (2s) -> infomercial snippet (LAUGH BREAK) -> eternal loading spinner ('come on...'). 3) Give up: 'You know what? YOU'RE funny.' 4) BUTTON: face-cam mirrors audience (SCREEN: live crowd on his face, <200ms latency). 5) Just watch; react to real crowd moments (open LAUGH BREAK). 6) Out: 'This is a good one.'","Channel-surf clip stack (static, 2-3 licensed stock clips, spinner) + surf SFX; rear-facing camera + low-latency pass-through config; gain settings for dim rooms."
,Hard,Bit,Sketch,G,No,Talk to max headroom,"HeadCase gets a ""call"" from a Max Headroom-style glitch host - stuttering, smug, permanently interruption-prone - on the rear screens (or as a PIP window on HeadCase's own face). They bicker over who's the real TV head. Play it as homage: same glitch aesthetic, different name (e.g. ""Max Halftone"").","Pre-render 6-8 short character clips (stutter edit + glitch overlays + retro studio backdrop). Cut them as clean answers so HeadCase can trade lines live with rehearsed timing; each clip + glitch stinger sits on its own button. Rear screen for full-frame, head PIP for reaction shots.","IP/likeness: parody the style, never clone the name, voice, or exact look. Pre-taped timing can't recover from a flub - keep it 60-90 seconds. Always have an abort button (""sorry, he's breaking up - bad signal"").","1) Ringtone glitch: incoming 'call' (SCREEN: retro glitch UI). 2) Answer: Max Halftone stutters in on rear screen (SCREEN: full-frame character clip, retro studio backdrop). 3) Trade 4-5 rehearsed lines - who's the real TV head (LAUGH BREAK each trade). 4) He interrupts one of HeadCase's answers (glitch stinger). 5) HeadCase wins the feed: 'Bad signal, sorry.' Abort button if timing slips. 60-90s hard cap.",6-8 pre-rendered Halftone clips (stutter edit + glitch overlays + retro backdrop); glitch stinger SFX; bad-signal abort card; PIP layout for head reactions.
1,Easy,Bit,Audience,PG,No,"Kiss cam 2 guys, Audience Cam//Then kill Tony and Redban","Audience cam becomes the kiss cam and lands on two random guys who strategically refuse. Then the cam ""breaks"" and mutates into an amateur roast night: red stage wash, HeadCase as sidekick with a bucket (Redban energy), quick-hit roast of the two guys - ""what do you do for a living?"" - then out. Kill Tony energy without naming the brand.","Button 1: audience-cam pass-through + heart-frame overlay + kiss-cam jingle. Button 2: swap to red-wash grade + roast-show lower thirds; HeadCase's face shows an ""AMATEUR HOUR"" ticket stub. Rehearse target lock-on (crop/freeze) during the kiss-cam beat so the roast lands on the same two guys.","Works best with one seeded pair of willing pals in the crowd as a safety target. Roast material stays light: job, hometown, posture - never protected traits. Cap it at 2 minutes; the bit is the format, not the victims.","1) 'Let's check the kiss cam.' (SCREEN: audience-cam + heart frame + jingle). 2) Land on two guys - they refuse (LAUGH BREAK). 3) Zoom harder, they refuse harder. 4) 'Cam's broken... you know what this means.' 5) BUTTON: red wash + roast lower-thirds (SCREEN: AMATEUR HOUR package). 6) Quick-hit roast of the two guys: job/hometown/posture (2-3 laughs). 7) Out before 2 min: 'Give it up for my victims!'",Heart-frame overlay + kiss-cam jingle; audience-cam lock-on preset; red-wash grade; roast-show lower-third pack; 'AMATEUR HOUR' face graphic.
,Easy,Line,OneLiner,PG,No,Rather kill my self than commit suicide,"One-liner: Rather kill my self than commit suicide. Fire it as a quick hit between bits; flash a caption or stinger on the face to sell the beat, then keep moving.",Optional: flash the punchline as a lower-third caption after it lands. Delivery-only otherwise.,"SELF-HARM ADJACENT: workshop the phrasing hard - the punchline must hit the absurdity of the wording, never play as real ideation; drop it if the room is fragile.","1) Setup line delivers the premise (SCREEN: neutral face). 2) Punchline - land it, don't step on it. 3) Optional: flash caption of the punchline (SCREEN: lower-third) (LAUGH BREAK). 4) Move on.",Optional punchline caption (lower-third PNG). Delivery-only otherwise.
